,token_index,value
2123,3517,81.9339
2124,3519,86.30718
2125,3520,34.875023
2126,3521,21.932732
2127,3522,9.868207
2128,3523,15.967945
2129,3526,37.10092
2130,3527,43.135128
2131,3528,27.480509
2132,3529,67.35622
2133,3530,30.518301
2134,3532,41.53807
2135,3533,78.3183
2136,3534,78.55348
2137,3536,77.25425
2138,3539,36.89908
2139,3540,29.96579
2140,3541,16.754688
2141,3542,51.36384
2142,3543,121.12447
2143,3544,76.9218
2144,3545,17.986517
2145,3546,193.49103
2146,3547,21.019138
2147,3548,67.82246
2148,3549,19.134235
2149,3550,18.659285
2150,3552,75.14912
2151,3553,35.42992
2152,3557,53.669514
2153,3558,56.50072
2154,3559,91.77793
2155,3560,38.186424
2156,3561,55.11958
2157,3562,25.208132
2158,3563,66.03408
2159,3565,50.55512
2160,3566,18.020447
2161,3567,23.614775
2162,3568,19.110243
2163,3569,33.17959
2164,3570,19.893654
2165,3571,22.005663
2166,3572,44.66319
2167,3574,51.47835
2168,3575,34.11662
2169,3576,92.61696
2170,3577,45.244133
2171,3578,72.04211
2172,3579,90.155525
2173,3580,114.95852
2174,3581,42.438484
2175,3583,95.93755
2176,3584,16.709524
2177,3585,17.46831
2178,3586,78.48095
2179,3587,65.4953
2180,3588,53.979828
2181,3589,47.793533
2182,3591,21.670465
2183,3592,19.2876
2184,3593,25.862625
2185,3595,19.063198
2186,3596,39.89533
2187,3599,38.78801
2188,3600,80.548485
2189,3601,12.970336
2190,3604,58.073273
2191,3606,100.705505
2192,3607,13.142172
2193,3608,25.154207
2194,3609,170.37433
2195,3610,20.314402
2196,3611,15.513995
2197,3612,10.865344
2198,3613,16.417192
2199,3614,177.75266
2200,3615,42.34177
2201,3616,87.11654
2202,3617,23.913002
2203,3618,51.703445
2204,3619,48.053368
2205,3621,78.10669
2206,3622,106.07353
2207,3623,90.91379
2208,3624,73.39627
2209,3625,28.582499
2210,3626,84.22821
2211,3627,72.742165
2212,3628,83.19133
2213,3629,59.605743
2214,3631,22.83815
2215,3632,22.101406
2216,3633,28.864851
2217,3634,81.560936
2218,3635,75.97965
2219,3637,58.92091
2220,3638,145.35103
2221,3639,88.71513
2222,3640,28.123991
2223,3641,19.549994
2224,3643,9.829508
2225,3644,16.892792
2226,3645,84.60956
2227,3649,16.384855
2228,3650,59.467793
2229,3651,90.00169
2230,3652,61.105606
2231,3653,71.20445
2232,3654,26.53822
2233,3655,26.550312
2234,3658,25.251629
2235,3659,22.939814
2236,3660,87.19705
2237,3661,84.08907
2238,3662,43.517227
2239,3663,70.06898
2240,3664,24.199299
2241,3665,21.349379
2242,3666,46.58767
2243,3667,32.250145
2244,3668,14.51695
2245,3669,40.721687
2246,3670,56.655952
2247,3671,83.10453
2248,3672,28.553637
2249,3674,24.6186
2250,3675,48.56843
2251,3676,68.97982
2252,3677,49.602127
2253,3678,16.245495
2254,3680,24.782078
2255,3681,22.43895
2256,3682,142.96176
2257,3683,25.777472
2258,3684,30.345303
2259,3685,26.899357
2260,3686,77.15282
2261,3690,26.441536
2262,3693,41.45201
2263,3695,80.448425
2264,3696,77.73282
2265,3697,114.243484
2266,3699,48.731045
2267,3700,53.7684
2268,3702,68.52372
2269,3704,23.364561
2270,3705,76.24701
2271,3706,88.61011
2272,3707,94.9852
2273,3708,95.40531
2274,3709,37.17592
2275,3710,17.956957
2276,3711,60.593403
2277,3712,23.316025
2278,3715,25.974766
2279,3716,75.155876
2280,3718,33.62361
2281,3719,23.250458
2282,3720,43.140003
2283,3721,25.993366
2284,3722,106.080246
2285,3724,59.571693
2286,3727,68.71081
2287,3728,22.78303
2288,3729,17.436377
2289,3730,93.536385
2290,3731,84.82781
2291,3732,69.65873
2292,3733,23.01076
2293,3734,21.028292
2294,3735,23.68951
2295,3736,76.50496
2296,3737,78.63857
2297,3738,18.466784
2298,3740,124.0497
2299,3741,27.545748
2300,3742,49.337105
2301,3743,31.380844
2302,3744,35.594147
2303,3745,25.245127
2304,3746,37.867836
2305,3748,28.606224
2306,3750,34.165436
2307,3751,87.45572
2308,3752,81.22358
2309,3753,26.457056
2310,3754,14.135371
2311,3755,78.468
2312,3756,25.591568
2313,3757,86.89053
2314,3758,16.078829
2315,3759,49.646217
2316,3760,40.777252
2317,3761,21.549543
2318,3762,45.326504
2319,3763,105.32457
2320,3764,181.797
2321,3765,82.27332
2322,3766,22.778402
2323,3767,36.95689
2324,3768,57.176025
2325,3769,51.034214
2326,3770,78.88067
2327,3771,34.085346
2328,3774,18.125214
2329,3776,11.503603
2330,3778,24.99972
2331,3779,13.006807
2332,3780,54.34072
2333,3782,36.830074
2334,3783,101.50672
2335,3784,118.6518
2336,3787,17.04143
2337,3788,16.681267
2338,3790,65.41337
2339,3792,29.92374
2340,3793,17.545555
2341,3794,73.54139
2342,3795,111.43769
2343,3796,83.467926
2344,3797,24.921616
2345,3798,65.8019
2346,3799,85.145226
2347,3800,62.752247
2348,3802,26.806473
2349,3803,12.0532055
2350,3804,80.75725
2351,3805,9.58199
2352,3806,14.070118
2353,3807,75.052246
2354,3808,31.621658
2355,3810,143.1078
2356,3812,93.30353
2357,3816,101.74577
2358,3817,75.68681
2359,3818,28.419083
2360,3819,20.456896
2361,3820,12.129893
2362,3821,26.12551
2363,3822,129.76796
2364,3823,21.331915
2365,3824,89.93424
2366,3825,84.376526
2367,3826,23.924206
2368,3827,15.421154
2369,3828,83.81427
2370,3829,14.810966
2371,3830,24.604532
2372,3831,829.36804
2373,3832,32.192223
2374,3833,46.78772
2375,3834,52.037273
2376,3836,91.05671
2377,3838,40.591305
2378,3839,28.347923
2379,3840,18.888187
2380,3841,102.49873
2381,3842,86.052185
2382,3844,27.963451
2383,3845,79.98345
2384,3846,60.655552
2385,3847,20.525652
2386,3851,38.61475
2387,3852,76.294044
2388,3853,48.34477
2389,3854,105.74154
2390,3855,90.983795
2391,3856,83.26945
2392,3857,23.116201
2393,3858,20.751602
2394,3859,93.9743
